StatusNum,AvgStatusShare,MaxStatusShare,AvgStatusCmt,MaxStatusCmt,StatusTimeDiff,MinStatusTimeDiff,StatusTextLength,AvgStatusEmoticon,BlogNum,AvgBlogShare,MaxBlogShare,AvgBlogCmt,MaxBlogCmt,AvgBlogView,MaxBlogView,BlogTimeDiff,MinBlogTimeDiff,BlogTitleLength,BlogTextLength,PublicRatio,AvgImg,MaxImg,ShareNum,PhotoRatio,BlogRatio,VideoRatio,OtherRatio,AvgShareCmt,MaxShareCmt,ShareTimeDiff,MinShareTimeDiff,HanziRatio,StarNum,BasicInfo,Education,WorkNum,LikeNum,AppCount,VisitorCount,PageCount,ZhanCount,MusicCount,MovieCount,FriendCount,FriendDensity,Agreeableness,Openness,Conscientiousness,Neuroticism,Extraversion
143,0.314685315,6,7.902097902,66,1500752.676,5,33.70629371,0.244755245,10,0,0,11.1,19,129.3,360,1573214.778,244167,12.4,2496.6,1,11.4,76,155,0.303225806,0.451612903,0.109677419,0.135483871,2.716129032,38,1289868.5,22,1,1,3,3,1,0,26,2191,26,6,0,0,538,0,0.917,0.65,0.833,0.062,0.656
894,0.070469799,5,5.559284116,91,200112.8152,20,23.76845638,0.059284116,11,0.090909091,1,14,36,52.18181818,203,8149029.9,587,6.909090909,323.2727273,1,3.454545455,8,337,0.267062315,0.222551929,0.296735905,0.213649852,1.608308605,28,417151.1845,22,1,0,0,0,0,0,0,3734,17,0,0,0,340,0,0.583,0.425,0.5,0.656,0.531
342,0.260233918,4,6.143274854,41,480388.261,57,32.51461988,0.178362573,12,1.833333333,13,12.33333333,49,49.41666667,106,5957352.909,173608,16.91666667,3972.916667,1,4.083333333,28,373,0.28150134,0.308310992,0.284182306,0.126005362,1.367292225,16,493287.1156,48,1,1,3,4,1,0,68,4655,67,1,0,0,540,0,0.583,0.7,0.639,0.719,0.5
800,0.71125,8,4.8175,45,72249.92991,43,16.90125,0.0525,77,6.688311688,389,11.66233766,89,206.5194805,5056,2526884.855,77,11.67532468,1402.805195,0.974025974,0.623376623,8,2207,0.306298142,0.555052107,0.106479384,0.032170367,0.968282737,27,87153.04805,3,1,1,3,5,2,0,58,224987,13,2,1,0,1286,0,0.75,0.775,0.583,0.438,0.75
192,0.572916667,14,10.36458333,68,618187.5602,93,38.4375,0.276041667,9,4.888888889,15,14.44444444,35,113.8888889,213,8037327.5,89292,12.22222222,2180.888889,1,3.111111111,8,327,0.174311927,0.23853211,0.541284404,0.04587156,1.272171254,28,522498.2209,28,1,1,3,7,0,0,65,9347,34,8,2,0,1238,0,0.833,0.625,0.639,0.25,0.688
14,0.642857143,2,1.857142857,9,1580921,51,16.71428571,0.357142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0.630434783,0.304347826,0.065217391,0,1.630434783,16,750574.6889,7,1,1,0,0,0,0,0,2149,16,0,0,0,367,0,0.667,0.775,0.528,0.812,0.375
510,0.117647059,3,2.511764706,45,317290.2672,4,29.51372549,0.01372549,13,4.538461538,44,7.769230769,30,86.69230769,250,1.19E+07,547785,13.69230769,3708.846154,0.923076923,10.92307692,90,37,0.351351351,0.459459459,0.135135135,0.054054054,1.594594595,10,3554476.944,4,1,1,3,5,0,0,39,1302,19,0,0,0,230,0,0.333,0.75,0.667,0.531,0.344
1733,0.193306405,7,8.270628967,175,89089.13626,8,39.64223889,0.573571841,131,1.709923664,58,15.15267176,79,85.95419847,535,1103358.485,3174,14.29007634,3875.374046,0.86259542,5.465648855,118,678,0.569321534,0.271386431,0.112094395,0.04719764,2.266961652,41,222337.0502,4,0.25,0,3,4,0,7,69,27234,153,22,16,0,954,0,0.75,0.611,0.611,0.469,0.562
598,0.342809365,6,6.806020067,105,248304.1876,11,41.75083612,0.205685619,100,9.76,573,14.03,88,126.81,1876,891858.5051,-22200,17.02,5349.59,1,1.68,27,1008,0.410714286,0.356150794,0.149801587,0.083333333,1.328373016,87,154700.708,1,1,0,3,4,0,0,0,15334,94,0,0,0,1467,0,0.556,0.825,0.722,0.438,0.562
569,0.323374341,6,7.766256591,65,261681.8451,10,25.93673111,0.30228471,22,2.681818182,22,18.86363636,71,123.7272727,564,5852951.19,118620,15.81818182,3326.818182,0.727272727,1.818181818,11,1127,0.4108252,0.361135759,0.158828749,0.069210293,1.583850932,31,129595.4902,8,1,0,3,4,0,7,58,15724,25,23,14,0,877,0,0.611,0.875,0.667,0.594,0.531
