inst#	actual	predicted	error
1	0.917	0.739	-0.178
2	0.583	0.607	0.024
3	0.583	0.634	0.051
4	0.75	0.693	-0.057
5	0.833	0.734	-0.099
6	0.667	0.648	-0.019
7	0.333	0.523	0.19
8	0.75	0.689	-0.061
9	0.556	0.594	0.038
10	0.611	0.624	0.013
11	0.667	0.664	-0.003
12	0.639	0.641	0.002
13	0.5	0.572	0.072
14	0.639	0.643	0.004
15	0.75	0.68	-0.07
16	0.639	0.642	0.003
17	0.583	0.6	0.017
18	0.611	0.646	0.035
19	0.694	0.664	-0.03
20	0.444	0.562	0.118
21	0.694	0.657	-0.037
22	0.861	0.715	-0.146
23	0.889	0.766	-0.123
24	0.333	0.473	0.14
25	0.639	0.637	-0.002
26	0.306	0.466	0.16
27	0.278	0.456	0.178
28	0.556	0.595	0.039
29	0.722	0.675	-0.047
30	0.639	0.642	0.003
31	0.556	0.579	0.023
32	0.778	0.696	-0.082
33	0.583	0.604	0.021
34	0.778	0.723	-0.055
35	0.611	0.626	0.015
36	0.833	0.752	-0.081
37	0.775	0.707	-0.068
38	0.556	0.605	0.049
39	0.722	0.669	-0.053
40	0.611	0.641	0.03
41	0.5	0.609	0.109
42	0.722	0.682	-0.04
43	0.639	0.598	-0.041
44	0.556	0.572	0.016
45	0.639	0.641	0.002
46	0.444	0.507	0.063
47	0.722	0.639	-0.083
48	0.583	0.61	0.027
49	0.556	0.61	0.054
50	0.611	0.62	0.009
51	0.528	0.622	0.094
52	0.583	0.615	0.032
53	0.444	0.571	0.127
54	0.417	0.561	0.144
55	0.778	0.714	-0.064
56	0.75	0.692	-0.058
57	0.528	0.571	0.043
58	0.778	0.666	-0.112
59	0.333	0.509	0.176
60	0.861	0.727	-0.134
61	0.833	0.741	-0.092
62	0.528	0.578	0.05
63	0.583	0.596	0.013
64	0.528	0.583	0.055
65	0.75	0.701	-0.049
66	0.75	0.685	-0.065
67	0.65	0.621	-0.029
68	0.694	0.665	-0.029
69	0.639	0.63	-0.009
70	0.667	0.666	-0.001
71	0.694	0.668	-0.026
72	0.333	0.484	0.151
73	0.778	0.696	-0.082
74	0.75	0.701	-0.049
75	0.667	0.697	0.03
76	0.917	0.788	-0.129
77	0.75	0.706	-0.044
78	0.528	0.606	0.078
79	0.444	0.544	0.1
80	0.639	0.634	-0.005
81	0.861	0.747	-0.114
82	0.889	0.746	-0.143
83	0.722	0.666	-0.056
84	0.75	0.664	-0.086
85	0.556	0.601	0.045
86	0.5	0.589	0.089
87	0.694	0.666	-0.028
88	0.5	0.56	0.06
	0.636761364	0.636909091	0.079729876
			0.19
			-0.178
