inst#	actual	predicted	error
1	0.833	0.682	-0.151
2	0.5	0.534	0.034
3	0.639	0.614	-0.025
4	0.583	0.558	-0.025
5	0.639	0.586	-0.053
6	0.528	0.532	0.004
7	0.667	0.595	-0.072
8	0.611	0.567	-0.044
9	0.722	0.619	-0.103
10	0.667	0.588	-0.079
11	0.417	0.476	0.059
12	0.361	0.441	0.08
13	0.417	0.481	0.064
14	0.528	0.546	0.018
15	0.333	0.42	0.087
16	0.861	0.69	-0.171
17	0.389	0.508	0.119
18	0.639	0.612	-0.027
19	0.444	0.481	0.037
20	0.444	0.521	0.077
21	0.556	0.527	-0.029
22	0.667	0.606	-0.061
23	0.472	0.496	0.024
24	0.222	0.394	0.172
25	0.444	0.478	0.034
26	0.694	0.612	-0.082
27	0.472	0.498	0.026
28	0.583	0.558	-0.025
29	0.306	0.414	0.108
30	0.833	0.668	-0.165
31	0.694	0.613	-0.081
32	0.5	0.592	0.092
33	0.639	0.578	-0.061
34	0.528	0.509	-0.019
35	0.444	0.482	0.038
36	0.639	0.582	-0.057
37	0.417	0.47	0.053
38	0.611	0.571	-0.04
39	0.611	0.594	-0.017
40	0.472	0.501	0.029
41	0.556	0.582	0.026
42	0.472	0.495	0.023
43	0.639	0.573	-0.066
44	0.556	0.571	0.015
45	0.361	0.465	0.104
46	0.806	0.648	-0.158
47	0.639	0.575	-0.064
48	0.194	0.357	0.163
49	0.556	0.541	-0.015
50	0.556	0.534	-0.022
51	0.667	0.597	-0.07
52	0.5	0.534	0.034
53	0.417	0.529	0.112
54	0.5	0.5	0
55	0.583	0.564	-0.019
56	0.75	0.635	-0.115
57	0.528	0.538	0.01
58	0.556	0.548	-0.008
59	0.556	0.526	-0.03
60	0.639	0.592	-0.047
61	0.306	0.407	0.101
62	0.333	0.427	0.094
63	0.389	0.465	0.076
64	0.417	0.46	0.043
65	0.417	0.454	0.037
66	0.472	0.52	0.048
67	0.778	0.628	-0.15
68	0.472	0.496	0.024
69	0.306	0.41	0.104
70	0.306	0.406	0.1
71	0.444	0.515	0.071
72	0.444	0.523	0.079
73	0.5	0.514	0.014
74	0.306	0.42	0.114
75	0.694	0.604	-0.09
76	0.389	0.454	0.065
77	0.361	0.436	0.075
78	0.667	0.584	-0.083
79	0.444	0.477	0.033
80	0.417	0.492	0.075
81	0.528	0.525	-0.003
82	0.361	0.452	0.091
83	0.667	0.586	-0.081
84	0.417	0.517	0.1
85	0.222	0.378	0.156
86	0.556	0.559	0.003
87	0.444	0.483	0.039
88	0.722	0.622	-0.1
	0.518551724	0.527471264	0.07772395
			0.172
			-0.171
