inst#	actual	predicted	error
1	0.656	0.601	-0.055
2	0.531	0.516	-0.015
3	0.5	0.511	0.011
4	0.75	0.638	-0.112
5	0.688	0.605	-0.083
6	0.375	0.442	0.067
7	0.344	0.45	0.106
8	0.562	0.544	-0.018
9	0.562	0.542	-0.02
10	0.531	0.539	0.008
11	0.594	0.553	-0.041
12	0.438	0.484	0.046
13	0.625	0.601	-0.024
14	0.531	0.526	-0.005
15	0.438	0.465	0.027
16	0.812	0.662	-0.15
17	0.281	0.432	0.151
18	0.562	0.563	0.001
19	0.844	0.694	-0.15
20	0.625	0.541	-0.084
21	0.312	0.422	0.11
22	0.344	0.442	0.098
23	0.531	0.533	0.002
24	0.375	0.445	0.07
25	0.562	0.544	-0.018
26	0.406	0.46	0.054
27	0.688	0.608	-0.08
28	0.562	0.536	-0.026
29	0.5	0.51	0.01
30	0.469	0.494	0.025
31	0.656	0.529	-0.127
32	0.625	0.598	-0.027
33	0.594	0.568	-0.026
34	0.531	0.543	0.012
35	0.531	0.528	-0.003
36	0.719	0.646	-0.073
37	0.719	0.612	-0.107
38	0.531	0.53	-0.001
39	0.5	0.526	0.026
40	0.438	0.483	0.045
41	0.438	0.5	0.062
42	0.438	0.481	0.043
43	0.312	0.418	0.106
44	0.75	0.614	-0.136
45	0.469	0.497	0.028
46	0.406	0.478	0.072
47	0.531	0.495	-0.036
48	0.219	0.373	0.154
49	0.406	0.49	0.084
50	0.781	0.643	-0.138
51	0.406	0.474	0.068
52	0.5	0.503	0.003
53	0.344	0.492	0.148
54	0.562	0.521	-0.041
55	0.531	0.534	0.003
56	0.812	0.667	-0.145
57	0.406	0.457	0.051
58	0.656	0.548	-0.108
59	0.625	0.563	-0.062
60	0.531	0.526	-0.005
61	0.594	0.58	-0.014
62	0.688	0.609	-0.079
63	0.531	0.533	0.002
64	0.594	0.559	-0.035
65	0.406	0.455	0.049
66	0.406	0.459	0.053
67	0.531	0.518	-0.013
68	0.5	0.509	0.009
69	0.25	0.388	0.138
70	0.531	0.542	0.011
71	0.375	0.463	0.088
72	0.438	0.494	0.056
73	0.594	0.545	-0.049
74	0.719	0.616	-0.103
75	0.688	0.574	-0.114
76	0.625	0.576	-0.049
77	0.5	0.515	0.015
78	0.406	0.496	0.09
79	0.375	0.452	0.077
80	0.594	0.551	-0.043
81	0.719	0.62	-0.099
82	0.562	0.546	-0.016
83	0.5	0.505	0.005
84	0.594	0.532	-0.062
85	0.312	0.414	0.102
86	0.375	0.437	0.062
87	0.531	0.53	-0.001
88	0.438	0.471	0.033
	0.526602273	0.525329545	0.073144584
			0.154
			-0.15
