inst#	actual	predicted	error
1	0.062	0.344	0.282
2	0.656	0.589	-0.067
3	0.719	0.57	-0.149
4	0.438	0.481	0.043
5	0.25	0.389	0.139
6	0.812	0.662	-0.15
7	0.531	0.557	0.026
8	0.469	0.494	0.025
9	0.438	0.483	0.045
10	0.594	0.557	-0.037
11	0.5	0.498	-0.002
12	0.062	0.294	0.232
13	0.75	0.622	-0.128
14	0.594	0.576	-0.018
15	0.438	0.493	0.055
16	0.625	0.522	-0.103
17	0.781	0.651	-0.13
18	0.625	0.539	-0.086
19	0.281	0.402	0.121
20	0.375	0.445	0.07
21	0.5	0.517	0.017
22	0.625	0.587	-0.038
23	0.438	0.464	0.026
24	0.844	0.679	-0.165
25	0.5	0.514	0.014
26	0.75	0.643	-0.107
27	0.781	0.649	-0.132
28	0.625	0.571	-0.054
29	0.406	0.468	0.062
30	0.562	0.527	-0.035
31	0.969	0.714	-0.255
32	0.219	0.397	0.178
33	0.344	0.434	0.09
34	0.5	0.495	-0.005
35	0.594	0.566	-0.028
36	0.188	0.343	0.155
37	0.375	0.441	0.066
38	0.5	0.511	0.011
39	0.438	0.493	0.055
40	0.562	0.551	-0.011
41	0.562	0.526	-0.036
42	0.312	0.413	0.101
43	0.719	0.58	-0.139
44	0.5	0.516	0.016
45	0.531	0.526	-0.005
46	0.469	0.545	0.076
47	0.312	0.458	0.146
48	0.719	0.62	-0.099
49	0.344	0.433	0.089
50	0.625	0.579	-0.046
51	0.438	0.554	0.116
52	0.469	0.492	0.023
53	0.719	0.56	-0.159
54	0.656	0.564	-0.092
55	0.312	0.404	0.092
56	0.25	0.388	0.138
57	0.594	0.567	-0.027
58	0.375	0.481	0.106
59	0.531	0.538	0.007
60	0.375	0.468	0.093
61	0.469	0.49	0.021
62	0.719	0.626	-0.093
63	0.5	0.517	0.017
64	0.688	0.6	-0.088
65	0.281	0.391	0.11
66	0.625	0.578	-0.047
67	0.375	0.47	0.095
68	0.406	0.467	0.061
69	0.5	0.518	0.018
70	0.5	0.484	-0.016
71	0.531	0.512	-0.019
72	0.656	0.571	-0.085
73	0.594	0.567	-0.027
74	0.562	0.521	-0.041
75	0.5	0.469	-0.031
76	0.562	0.534	-0.028
77	0.812	0.661	-0.151
78	0.5	0.524	0.024
79	0.375	0.447	0.072
80	0.719	0.602	-0.117
81	0.406	0.465	0.059
82	0.406	0.487	0.081
83	0.438	0.486	0.048
84	0.625	0.557	-0.068
85	0.688	0.608	-0.08
86	0.562	0.547	-0.015
87	0.5	0.512	0.012
88	0.812	0.683	-0.129
	0.520943182	0.520886364	0.095322343
			0.282
			-0.255
