inst#	actual	predicted	error
1	0.65	0.646	-0.004
2	0.425	0.539	0.114
3	0.7	0.66	-0.04
4	0.775	0.695	-0.08
5	0.625	0.625	0
6	0.775	0.683	-0.092
7	0.75	0.668	-0.082
8	0.611	0.617	0.006
9	0.825	0.705	-0.12
10	0.875	0.747	-0.128
11	0.7	0.65	-0.05
12	0.775	0.696	-0.079
13	0.675	0.661	-0.014
14	0.525	0.606	0.081
15	0.45	0.545	0.095
16	0.825	0.705	-0.12
17	0.6	0.644	0.044
18	0.6	0.595	-0.005
19	0.65	0.645	-0.005
20	0.8	0.677	-0.123
21	0.675	0.629	-0.046
22	0.8	0.683	-0.117
23	0.45	0.538	0.088
24	0.7	0.668	-0.032
25	0.75	0.683	-0.067
26	0.6	0.61	0.01
27	0.575	0.592	0.017
28	0.725	0.66	-0.065
29	0.7	0.658	-0.042
30	0.45	0.553	0.103
31	0.975	0.749	-0.226
32	0.525	0.594	0.069
33	0.4	0.508	0.108
34	0.65	0.628	-0.022
35	0.425	0.52	0.095
36	0.5	0.557	0.057
37	0.417	0.521	0.104
38	0.6	0.597	-0.003
39	0.5	0.571	0.071
40	0.575	0.594	0.019
41	0.5	0.608	0.108
42	0.65	0.632	-0.018
43	0.425	0.549	0.124
44	0.625	0.614	-0.011
45	0.425	0.52	0.095
46	0.775	0.694	-0.081
47	0.575	0.609	0.034
48	0.625	0.62	-0.005
49	0.65	0.632	-0.018
50	0.925	0.768	-0.157
51	0.55	0.647	0.097
52	0.65	0.609	-0.041
53	0.625	0.611	-0.014
54	0.375	0.506	0.131
55	0.525	0.547	0.022
56	0.775	0.694	-0.081
57	0.65	0.628	-0.022
58	0.625	0.605	-0.02
59	0.375	0.504	0.129
60	0.625	0.615	-0.01
61	0.65	0.628	-0.022
62	0.675	0.649	-0.026
63	0.375	0.511	0.136
64	0.725	0.663	-0.062
65	0.7	0.646	-0.054
66	0.9	0.731	-0.169
67	0.806	0.685	-0.121
68	0.575	0.599	0.024
69	0.375	0.496	0.121
70	0.65	0.613	-0.037
71	0.75	0.675	-0.075
72	0.525	0.59	0.065
73	0.525	0.564	0.039
74	0.775	0.69	-0.085
75	0.5	0.57	0.07
76	0.725	0.663	-0.062
77	0.45	0.534	0.084
78	0.575	0.604	0.029
79	0.2	0.414	0.214
80	0.65	0.627	-0.023
81	0.7	0.655	-0.045
82	0.45	0.518	0.068
83	0.525	0.573	0.048
84	0.65	0.616	-0.034
85	0.575	0.595	0.02
86	0.55	0.565	0.015
87	0.475	0.547	0.072
88	0.575	0.601	0.026
	0.615443182	0.615409091	0.080643358
			0.214
			-0.226
